日期,天气状况,温度,风向风力
2022年03月02日,晴 /  晴,9℃ / 1℃,西南风 4-5级 / 西南风 4-5级
2022年03月03日,晴 /  晴,9℃ / 2℃,东南风 4-5级 / 东南风 4-5级
2022年03月04日,晴 /  晴,13℃ / 1℃,西北风 5-6级 / 西北风 5-6级
2022年03月05日,晴 /  晴,4℃ / 0℃,西北风 5-6级 / 西北风 5-6级
2022年03月06日,多云 /  阴,6℃ / 1℃,南风 4-5级 / 南风 4-5级
2022年03月07日,多云 /  晴,10℃ / 2℃,西南风 4-5级 / 西南风 4-5级
2022年03月08日,晴 /  晴,10℃ / 2℃,南风 3-4级 / 南风 3-4级
2022年03月09日,多云 /  多云,9℃ / 1℃,东南风 4-5级 / 东南风 4-5级
2022年03月10日,晴 /  多云,14℃ / 4℃,南风 4-5级 / 南风 4-5级
2022年03月11日,多云 /  多云,10℃ / 5℃,东北风 4-5级 / 东北风 4-5级
2022年03月12日,小到中雨 /  多云,9℃ / 5℃,南风 4-5级 / 南风 4-5级
2022年03月13日,多云 /  小到中雨,9℃ / 5℃,东北风 4-5级 / 东北风 4-5级
2022年03月14日,阴 /  多云,8℃ / 2℃,西北风 3-4级 / 西北风 3-4级
2022年03月15日,多云 /  多云,13℃ / 3℃,南风 4-5级 / 南风 4-5级
2022年03月16日,多云 /  多云,7℃ / 0℃,东北风 4-5级 / 东北风 4-5级
2022年03月17日,多云 /  多云,5℃ / -1℃,北风 5-6级 / 北风 5-6级
2022年03月18日,雨夹雪 /  中雪,5℃ / -1℃,北风 4-5级 / 北风 4-5级
2022年03月19日,多云 /  晴,3℃ / -2℃,北风 5-6级 / 北风 5-6级
2022年03月20日,晴 /  晴,7℃ / 2℃,北风 3-4级 / 北风 3-4级
,,,
2022年03月21日,多云 /  晴,9℃ / 2℃,西南风 3-4级 / 西南风 3-4级
2022年03月22日,多云 /  阴,8℃ / 4℃,西南风 3-4级 / 西南风 3-4级
2022年03月23日,晴 /  多云,11℃ / 5℃,西南风 4-5级 / 西南风 4-5级
2022年03月24日,多云 /  阴,14℃ / 8℃,南风 4-5级 / 南风 4-5级
2022年03月25日,中到大雨 /  小雨,9℃ / 6℃,东北风 4-5级 / 东北风 4-5级
2022年03月26日,晴 /  多云,12℃ / 5℃,西北风 4-5级 / 西北风 4-5级
2022年03月27日,晴 /  晴,10℃ / 5℃,西北风 4-5级 / 西北风 4-5级
2022年03月28日,晴 /  多云,12℃ / 6℃,南风 4-5级 / 南风 4-5级
2022年03月29日,多云 /  小雨,12℃ / 6℃,南风 4-5级 / 南风 4-5级
2022年03月30日,多云 /  晴,10℃ / 4℃,北风 4-5级 / 北风 4-5级
2022年03月31日,晴 /  晴,11℃ / 4℃,西北风 4-5级 / 西北风 4-5级
2022年04月01日,晴 /  多云,11℃ / 4℃,西北风 3-4级 / 西北风 3-4级
2022年04月02日,晴 /  晴,13℃ / 6℃,西风 1-2级 / 西风 1-2级
2022年04月03日,晴 /  晴,14℃ / 8℃,西南风 4-5级 / 西南风 4-5级
2022年04月04日,多云 /  晴,16℃ / 9℃,南风 3-4级 / 南风 3-4级
2022年04月05日,晴 /  晴,17℃ / 5℃,北风 3-4级 / 北风 3-4级
2022年04月06日,阵雨 /  晴,9℃ / 5℃,东北风 4-5级 / 东北风 4-5级
2022年04月07日,晴 /  晴,14℃ / 7℃,西风 4-5级 / 西风 4-5级
2022年04月08日,晴 /  多云,17℃ / 11℃,南风 4-5级 / 南风 4-5级
2022年04月09日,晴 /  晴,18℃ / 9℃,南风 4-5级 / 南风 4-5级
2022年04月10日,晴 /  晴,20℃ / 11℃,南风 4-5级 / 南风 4-5级
2022年04月11日,多云 /  小到中雨,20℃ / 9℃,北风 5-6级 / 北风 5-6级
2022年04月12日,阵雨 /  多云,15℃ / 8℃,北风 4-5级 / 北风 4-5级
2022年04月13日,晴 /  多云,14℃ / 8℃,东北风 4-5级 / 东北风 4-5级
2022年04月14日,多云 /  晴,12℃ / 8℃,东北风 4-5级 / 东北风 4-5级
2022年04月15日,晴 /  晴,16℃ / 8℃,北风 4-5级 / 北风 4-5级
2022年04月16日,晴 /  晴,17℃ / 10℃,西风 3-4级 / 西风 3-4级
2022年04月17日,多云 /  多云,17℃ / 11℃,西风 4-5级 / 西风 4-5级
2022年04月18日,多云 /  晴,20℃ / 9℃,北风 4-5级 / 北风 4-5级
2022年04月19日,晴 /  晴,19℃ / 12℃,西南风 4-5级 / 西南风 4-5级
2022年04月20日,晴 /  晴,21℃ / 13℃,南风 4-5级 / 南风 4-5级
,,,
2022年04月21日,多云 /  阵雨,20℃ / 11℃,南风 4-5级 / 南风 4-5级
2022年04月22日,晴 /  晴,17℃ / 10℃,北风 3-4级 / 北风 3-4级
2022年04月23日,晴 /  多云,19℃ / 12℃,南风 4-5级 / 南风 4-5级
2022年04月24日,多云 /  多云,20℃ / 10℃,东风 3-4级 / 东风 3-4级
2022年04月25日,多云 /  阵雨,17℃ / 11℃,南风 4-5级 / 南风 4-5级
2022年04月26日,雷阵雨 /  晴,21℃ / 11℃,北风 4-5级 / 北风 4-5级
2022年04月27日,晴 /  阴,17℃ / 11℃,北风 3-4级 / 北风 3-4级
2022年04月28日,阵雨 /  多云,15℃ / 9℃,北风 4-5级 / 北风 4-5级
2022年04月29日,晴 /  多云,17℃ / 10℃,西南风 3-4级 / 西南风 3-4级
2022年04月30日,多云 /  晴,17℃ / 11℃,西北风 4-5级 / 西北风 4-5级
2022年05月01日,晴 /  晴,20℃ / 10℃,西北风 3-4级 / 西北风 3-4级
2022年05月02日,晴 /  晴,19℃ / 11℃,南风 4-5级 / 南风 4-5级
2022年05月03日,晴 /  晴,23℃ / 15℃,西南风 4-5级 / 西南风 4-5级
2022年05月04日,晴 /  晴,25℃ / 15℃,西南风 4-5级 / 西南风 4-5级
2022年05月05日,晴 /  多云,23℃ / 14℃,南风 4-5级 / 南风 4-5级
2022年05月06日,阵雨 /  多云,18℃ / 12℃,北风 4-5级 / 北风 4-5级
2022年05月07日,晴 /  多云,18℃ / 12℃,北风 4-5级 / 北风 4-5级
2022年05月08日,阵雨 /  多云,15℃ / 10℃,北风 3-4级 / 北风 3-4级
2022年05月09日,晴 /  多云,17℃ / 11℃,北风 3-4级 / 北风 3-4级
2022年05月10日,多云 /  阴,16℃ / 11℃,南风 3-4级 / 南风 3-4级
2022年05月11日,多云 /  阴,18℃ / 12℃,北风 3-4级 / 北风 3-4级
2022年05月12日,多云 /  多云,19℃ / 12℃,西北风 3-4级 / 西北风 3-4级
2022年05月13日,多云 /  晴,20℃ / 13℃,西风 4-5级 / 西风 4-5级
2022年05月14日,晴 /  晴,20℃ / 12℃,西北风 4-5级 / 西北风 4-5级
2022年05月15日,晴 /  晴,21℃ / 14℃,西南风 3-4级 / 西南风 3-4级
2022年05月16日,晴 /  晴,23℃ / 13℃,西风 3-4级 / 西风 3-4级
2022年05月17日,晴 /  多云,20℃ / 13℃,南风 3-4级 / 南风 3-4级
2022年05月18日,晴 /  晴,24℃ / 13℃,北风 3-4级 / 北风 3-4级
2022年05月19日,晴 /  多云,22℃ / 15℃,南风 3-4级 / 南风 3-4级
2022年05月20日,晴 /  晴,24℃ / 16℃,南风 3-4级 / 南风 3-4级
,,,
2022年05月21日,晴 /  晴,25℃ / 18℃,西南风 4-5级 / 西南风 4-5级
2022年05月22日,晴 /  晴,28℃ / 16℃,西风 3-4级 / 西风 3-4级
2022年05月23日,晴 /  晴,29℃ / 18℃,西南风 4-5级 / 西南风 4-5级
2022年05月24日,晴 /  雷阵雨,28℃ / 15℃,南风 4-5级 / 南风 4-5级
2022年05月25日,多云 /  晴,23℃ / 15℃,北风 4-5级 / 北风 4-5级
2022年05月26日,多云 /  多云,25℃ / 16℃,西北风 4-5级 / 西北风 4-5级
2022年05月27日,晴 /  多云,26℃ / 18℃,西南风 4-5级 / 西南风 4-5级
2022年05月28日,晴 /  多云,28℃ / 18℃,西南风 4-5级 / 西南风 4-5级
2022年05月29日,雷阵雨 /  中雨,26℃ / 16℃,南风 4-5级 / 南风 4-5级
2022年05月30日,晴 /  晴,25℃ / 17℃,西北风 4-5级 / 西北风 4-5级
2022年05月31日,多云 /  雷阵雨,26℃ / 16℃,西南风 4-5级 / 西南风 4-5级
2022年06月01日,晴 /  晴,25℃ / 17℃,南风 3-4级 / 南风 3-4级
2022年06月02日,晴 /  多云,28℃ / 16℃,东南风 3-4级 / 东南风 3-4级
2022年06月03日,多云 /  多云,24℃ / 19℃,东南风 4-5级 / 东南风 4-5级
2022年06月04日,多云 /  阴,22℃ / 17℃,东南风 4-5级 / 东南风 4-5级
2022年06月05日,多云 /  阴,21℃ / 17℃,东南风 4-5级 / 东南风 4-5级
2022年06月06日,雷阵雨 /  阵雨,21℃ / 16℃,东北风 4-5级 / 东北风 4-5级
2022年06月07日,多云 /  多云,21℃ / 15℃,东北风 3-4级 / 东北风 3-4级
2022年06月08日,多云 /  多云,20℃ / 17℃,东风 3-4级 / 东风 3-4级
2022年06月09日,多云 /  小到中雨,22℃ / 18℃,东南风 4-5级 / 东南风 4-5级
2022年06月10日,雷阵雨 /  多云,22℃ / 17℃,东南风 4-5级 / 东南风 4-5级
2022年06月11日,多云 /  多云,23℃ / 18℃,东南风 4-5级 / 东南风 4-5级
2022年06月12日,雷阵雨 /  阴,23℃ / 18℃,南风 4-5级 / 南风 4-5级
2022年06月13日,雷阵雨 /  雷阵雨,23℃ / 18℃,东南风 4-5级 / 东南风 4-5级
2022年06月14日,中雨 /  中到大雨,21℃ / 17℃,东南风 4-5级 / 东南风 4-5级
2022年06月15日,阵雨 /  晴,21℃ / 17℃,东风 3-4级 / 东风 3-4级
2022年06月16日,晴 /  多云,26℃ / 19℃,南风 3-4级 / 南风 3-4级
2022年06月17日,多云 /  多云,23℃ / 19℃,东南风 4-5级 / 东南风 4-5级
2022年06月18日,阴 /  多云,23℃ / 19℃,东南风 4-5级 / 东南风 4-5级
2022年06月19日,多云 /  阴,24℃ / 19℃,东风 3-4级 / 东风 3-4级
2022年06月20日,多云 /  多云,25℃ / 20℃,东南风 3-4级 / 东南风 3-4级
,,,
2022年06月21日,多云 /  多云,26℃ / 20℃,南风 3-4级 / 南风 3-4级
2022年06月22日,多云 /  中到大雨,25℃ / 20℃,东南风 4-5级 / 东南风 4-5级
2022年06月23日,雷阵雨 /  晴,27℃ / 21℃,西北风 4-5级 / 西北风 4-5级
2022年06月24日,晴 /  多云,30℃ / 22℃,西北风 4-5级 / 西北风 4-5级
2022年06月25日,多云 /  雷阵雨,30℃ / 20℃,西南风 4-5级 / 西南风 4-5级
2022年06月26日,多云 /  中到大雨,30℃ / 21℃,东风 4-5级 / 东风 4-5级
2022年06月27日,大到暴雨 /  小雨,26℃ / 21℃,东南风 5-6级 / 东南风 5-6级
2022年06月28日,阴 /  多云,27℃ / 21℃,北风 3-4级 / 北风 3-4级
2022年06月29日,多云 /  阵雨,27℃ / 21℃,西北风 3-4级 / 西北风 3-4级
2022年06月30日,多云 /  雷阵雨,26℃ / 21℃,东风 3-4级 / 东风 3-4级
2022年07月01日,多云 /  雷阵雨,26℃ / 21℃,南风 4-5级 / 南风 4-5级
2022年07月02日,阴 /  阴,27℃ / 22℃,南风 4-5级 / 南风 4-5级
2022年07月03日,多云 /  多云,26℃ / 22℃,东南风 3-4级 / 东南风 3-4级
2022年07月04日,多云 /  多云,26℃ / 22℃,东南风 3-4级 / 东南风 3-4级
2022年07月05日,多云 /  雷阵雨,27℃ / 22℃,东南风 3-4级 / 东南风 3-4级
2022年07月06日,大雨 /  暴雨,26℃ / 22℃,东南风 4-5级 / 东南风 4-5级
2022年07月07日,阵雨 /  多云,28℃ / 23℃,南风 4-5级 / 南风 4-5级
2022年07月08日,晴 /  多云,31℃ / 23℃,西南风 3-4级 / 西南风 3-4级
2022年07月09日,晴 /  晴,31℃ / 23℃,西南风 3-4级 / 西南风 3-4级
2022年07月10日,雷阵雨 /  多云,27℃ / 22℃,东风 3-4级 / 东风 3-4级
2022年07月11日,多云 /  多云,26℃ / 22℃,东风 3-4级 / 东风 3-4级
2022年07月12日,雷阵雨 /  大雨,26℃ / 22℃,东南风 4-5级 / 东南风 4-5级
2022年07月13日,阴 /  多云,28℃ / 22℃,北风 4-5级 / 北风 4-5级
2022年07月14日,晴 /  晴,29℃ / 22℃,南风 3-4级 / 南风 3-4级
2022年07月15日,晴 /  晴,30℃ / 23℃,西北风 4-5级 / 西北风 4-5级
2022年07月16日,晴 /  晴,30℃ / 23℃,北风 3-4级 / 北风 3-4级
2022年07月17日,多云 /  多云,30℃ / 23℃,南风 3-4级 / 南风 3-4级
2022年07月18日,多云 /  晴,30℃ / 23℃,西北风 3-4级 / 西北风 3-4级
2022年07月19日,晴 /  多云,31℃ / 23℃,西南风 3-4级 / 西南风 3-4级
2022年07月20日,阵雨 /  雷阵雨,29℃ / 22℃,西南风 3-4级 / 西南风 3-4级
,,,
2022年07月21日,阵雨 /  多云,29℃ / 22℃,西风 3-4级 / 西风 3-4级
2022年07月22日,晴 /  雷阵雨,29℃ / 23℃,北风 3-4级 / 北风 3-4级
2022年07月23日,雷阵雨 /  多云,27℃ / 21℃,东南风 3-4级 / 东南风 3-4级
2022年07月24日,晴 /  晴,29℃ / 23℃,西南风 3-4级 / 西南风 3-4级
2022年07月25日,晴 /  晴,30℃ / 23℃,南风 3-4级 / 南风 3-4级
2022年07月26日,晴 /  晴,28℃ / 23℃,东南风 3-4级 / 东南风 3-4级
2022年07月27日,多云 /  多云,29℃ / 24℃,东南风 3-4级 / 东南风 3-4级
2022年07月28日,雷阵雨 /  小到中雨,28℃ / 24℃,东南风 4-5级 / 东南风 4-5级
2022年07月29日,中雨 /  小雨,28℃ / 24℃,南风 4-5级 / 南风 4-5级
2022年07月30日,阴 /  多云,29℃ / 24℃,东南风 3-4级 / 东南风 3-4级
2022年07月31日,多云 /  多云,28℃ / 24℃,东风 3-4级 / 东风 3-4级
2022年08月01日,多云 /  多云,30℃ / 25℃,东北风 3-4级 / 东北风 3-4级
2022年08月02日,多云 /  多云,31℃ / 26℃,北风 3-4级 / 北风 3-4级
2022年08月03日,晴 /  晴,32℃ / 26℃,西南风 3-4级 / 西南风 3-4级
2022年08月04日,多云 /  雷阵雨,32℃ / 26℃,西南风 3-4级 / 西南风 3-4级
2022年08月05日,多云 /  多云,31℃ / 25℃,西南风 3-4级 / 西南风 3-4级
2022年08月06日,多云 /  多云,31℃ / 25℃,南风 3-4级 / 南风 3-4级
2022年08月07日,中到大雨 /  小到中雨,29℃ / 24℃,西南风 4-5级 / 西南风 4-5级
2022年08月08日,多云 /  多云,30℃ / 23℃,东北风 4-5级 / 东北风 4-5级
2022年08月09日,小雨 /  多云,27℃ / 21℃,东北风 3-4级 / 东北风 3-4级
2022年08月10日,晴 /  多云,28℃ / 22℃,西南风 3-4级 / 西南风 3-4级
2022年08月11日,多云 /  晴,29℃ / 23℃,西南风 3-4级 / 西南风 3-4级
2022年08月12日,多云 /  雷阵雨,29℃ / 24℃,东南风 3-4级 / 东南风 3-4级
2022年08月13日,多云 /  多云,29℃ / 24℃,东风 3-4级 / 东风 3-4级
2022年08月14日,小到中雨 /  大雨,30℃ / 26℃,东南风 4-5级 / 东南风 4-5级
2022年08月15日,雷阵雨 /  晴,29℃ / 22℃,西北风 4-5级 / 西北风 4-5级
2022年08月16日,晴 /  多云,28℃ / 23℃,北风 4-5级 / 北风 4-5级
2022年08月17日,晴 /  晴,29℃ / 22℃,北风 3-4级 / 北风 3-4级
2022年08月18日,雷阵雨 /  大雨,28℃ / 24℃,南风 5-6级 / 南风 5-6级
2022年08月19日,多云 /  晴,30℃ / 22℃,西风 4-5级 / 西风 4-5级
2022年08月20日,晴 /  晴,28℃ / 20℃,北风 3-4级 / 北风 3-4级
,,,
2022年08月21日,多云 /  中雨,28℃ / 23℃,南风 4-5级 / 南风 4-5级
2022年08月22日,中到大雨 /  多云,26℃ / 21℃,北风 4-5级 / 北风 4-5级
2022年08月23日,晴 /  晴,26℃ / 20℃,北风 4-5级 / 北风 4-5级
2022年08月24日,晴 /  多云,28℃ / 22℃,北风 3-4级 / 北风 3-4级
2022年08月25日,多云 /  晴,27℃ / 20℃,西风 4-5级 / 西风 4-5级
2022年08月26日,雷阵雨 /  晴,28℃ / 18℃,北风 4-5级 / 北风 4-5级
2022年08月27日,晴 /  晴,25℃ / 19℃,北风 4-5级 / 北风 4-5级
2022年08月28日,多云 /  阵雨,24℃ / 18℃,南风 3-4级 / 南风 3-4级
2022年08月29日,小雨 /  阴,23℃ / 18℃,南风 4-5级 / 南风 4-5级
2022年08月30日,多云 /  晴,24℃ / 19℃,东北风 3-4级 / 东北风 3-4级
2022年08月31日,晴 /  晴,26℃ / 18℃,西北风 4-5级 / 西北风 4-5级
2022年09月01日,晴 /  晴,25℃ / 16℃,北风 4-5级 / 北风 4-5级
2022年09月02日,晴 /  晴,26℃ / 18℃,东北风 3-4级 / 东北风 3-4级
2022年09月03日,多云 /  小雨,25℃ / 21℃,东风 4-5级 / 东风 4-5级
2022年09月04日,小到中雨 /  多云,25℃ / 18℃,东北风 4-5级 / 东北风 4-5级
2022年09月05日,雷阵雨 /  多云,25℃ / 17℃,北风 4-5级 / 北风 4-5级
2022年09月06日,晴 /  晴,26℃ / 19℃,西风 4-5级 / 西风 4-5级
2022年09月07日,晴 /  晴,28℃ / 20℃,西风 3-4级 / 西风 3-4级
2022年09月08日,晴 /  晴,28℃ / 19℃,西南风 3-4级 / 西南风 3-4级
2022年09月09日,晴 /  晴,27℃ / 20℃,南风 3-4级 / 南风 3-4级
2022年09月10日,多云 /  多云,27℃ / 20℃,东南风 3-4级 / 东南风 3-4级
2022年09月11日,晴 /  晴,25℃ / 20℃,东南风 3-4级 / 东南风 3-4级
2022年09月12日,晴 /  晴,26℃ / 19℃,东南风 3-4级 / 东南风 3-4级
2022年09月13日,晴 /  多云,27℃ / 20℃,东北风 4-5级 / 东北风 4-5级
2022年09月14日,小到中雨 /  大雨,25℃ / 19℃,东风 4-5级 / 东风 4-5级
2022年09月15日,暴雨 /  暴雨,23℃ / 20℃,东风 5-6级 / 东风 5-6级
2022年09月16日,暴雨 /  多云,23℃ / 18℃,北风 5-6级 / 北风 5-6级
2022年09月17日,晴 /  晴,26℃ / 21℃,西南风 4-5级 / 西南风 4-5级
2022年09月18日,晴 /  晴,26℃ / 17℃,北风 5-6级 / 北风 5-6级
2022年09月19日,晴 /  晴,21℃ / 14℃,北风 5-6级 / 北风 5-6级
2022年09月20日,晴 /  晴,21℃ / 14℃,北风 4-5级 / 北风 4-5级
,,,
2022年09月21日,晴 /  多云,23℃ / 18℃,南风 4-5级 / 南风 4-5级
2022年09月22日,雷阵雨 /  雷阵雨,23℃ / 12℃,西南风 5-6级 / 西南风 5-6级
2022年09月23日,多云 /  晴,21℃ / 15℃,西北风 5-6级 / 西北风 5-6级
2022年09月24日,晴 /  晴,23℃ / 18℃,西风 3-4级 / 西风 3-4级
2022年09月25日,晴 /  晴,23℃ / 18℃,西南风 4-5级 / 西南风 4-5级
2022年09月26日,晴 /  晴,24℃ / 17℃,西南风 3-4级 / 西南风 3-4级
2022年09月27日,晴 /  晴,24℃ / 17℃,南风 3-4级 / 南风 3-4级
2022年09月28日,晴 /  晴,23℃ / 18℃,南风 3-4级 / 南风 3-4级
2022年09月29日,晴 /  晴,24℃ / 19℃,南风 3-4级 / 南风 3-4级
2022年09月30日,晴 /  晴,25℃ / 19℃,南风 3-4级 / 南风 3-4级
2022年10月01日,多云 /  阵雨,23℃ / 17℃,南风 4-5级 / 南风 4-5级
2022年10月02日,小到中雨 /  多云,21℃ / 16℃,东风 4-5级 / 东风 4-5级
2022年10月03日,小到中雨 /  阴,20℃ / 9℃,北风 5-6级 / 北风 5-6级
2022年10月04日,晴 /  晴,12℃ / 8℃,北风 6-7级 / 北风 6-7级
2022年10月05日,晴 /  多云,13℃ / 9℃,北风 4-5级 / 北风 4-5级
2022年10月06日,多云 /  晴,16℃ / 11℃,西风 3-4级 / 西风 3-4级
2022年10月07日,晴 /  晴,18℃ / 13℃,西南风 3-4级 / 西南风 3-4级
2022年10月08日,多云 /  中到大雨,19℃ / 13℃,南风 4-5级 / 南风 4-5级
2022年10月09日,中雨 /  雷阵雨,15℃ / 7℃,西北风 5-6级 / 西北风 5-6级
2022年10月10日,阴 /  晴,13℃ / 8℃,西北风 5-6级 / 西北风 5-6级
2022年10月11日,晴 /  晴,17℃ / 11℃,西北风 3-4级 / 西北风 3-4级
2022年10月12日,晴 /  多云,18℃ / 13℃,西南风 3-4级 / 西南风 3-4级
2022年10月13日,多云 /  多云,18℃ / 13℃,西南风 3-4级 / 西南风 3-4级
2022年10月14日,多云 /  多云,18℃ / 12℃,西南风 3-4级 / 西南风 3-4级
2022年10月15日,多云 /  阴,19℃ / 11℃,西南风 3-4级 / 西南风 3-4级
2022年10月16日,多云 /  晴,14℃ / 9℃,北风 4-5级 / 北风 4-5级
2022年10月17日,晴 /  晴,13℃ / 7℃,西北风 4-5级 / 西北风 4-5级
2022年10月18日,晴 /  晴,15℃ / 10℃,西北风 3-4级 / 西北风 3-4级
2022年10月19日,晴 /  晴,18℃ / 13℃,西南风 4-5级 / 西南风 4-5级
2022年10月20日,多云 /  多云,17℃ / 14℃,西南风 4-5级 / 西南风 4-5级
,,,
2022年10月21日,晴 /  多云,19℃ / 13℃,西南风 4-5级 / 西南风 4-5级
2022年10月22日,晴 /  晴,17℃ / 9℃,北风 4-5级 / 北风 4-5级
2022年10月23日,多云 /  晴,18℃ / 8℃,北风 4-5级 / 北风 4-5级
2022年10月24日,晴 /  晴,16℃ / 11℃,南风 4-5级 / 南风 4-5级
2022年10月25日,晴 /  多云,18℃ / 14℃,南风 4-5级 / 南风 4-5级
2022年10月26日,阴 /  阴,17℃ / 9℃,南风 4-5级 / 南风 4-5级
2022年10月27日,晴 /  晴,14℃ / 6℃,北风 4-5级 / 北风 4-5级
2022年10月28日,晴 /  晴,12℃ / 6℃,北风 4-5级 / 北风 4-5级
2022年10月29日,晴 /  晴,13℃ / 7℃,北风 3-4级 / 北风 3-4级
2022年10月30日,多云 /  阵雨,15℃ / 11℃,南风 3-4级 / 南风 3-4级
